                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7973,                 1.4206,                 1.1601,                0.80191,                0.56775,                0.64652,                 0.3639,                 1.4339,                0.88205,                  0.998,              0.0033316,              0.0033316,              0.0033316
                      2,                 1.5303,                0.92865,                 1.0093,                0.81483,                0.59786,                 0.6854,                0.39335,                 1.3818,                0.78907,                0.97808,              0.0065329,              0.0065329,              0.0065329
                      3,                 1.5016,                0.88711,                0.99678,                0.81279,                0.61117,                0.69176,                0.39667,                 1.3859,                0.77961,                0.97789,              0.0096023,              0.0096023,              0.0096023
                      4,                 1.4629,                0.85383,                0.98818,                0.82425,                0.62686,                0.71089,                 0.4137,                  1.341,                0.74332,                0.96239,               0.009406,               0.009406,               0.009406
                      5,                 1.4268,                0.82169,                0.97779,                0.81989,                0.63858,                0.72121,                0.42394,                 1.3187,                0.72568,                0.95746,               0.009208,               0.009208,               0.009208
                      6,                 1.3951,                0.79917,                0.97033,                0.82251,                0.63725,                0.72224,                0.41849,                 1.3236,                0.72218,                0.95697,                0.00901,                0.00901,                0.00901
                      7,                 1.3748,                   0.78,                0.96642,                0.83145,                0.64622,                0.73346,                0.42964,                 1.3118,                0.69827,                0.95203,               0.008812,               0.008812,               0.008812
                      8,                 1.3674,                0.77261,                0.96207,                0.82867,                0.65628,                0.74039,                0.43944,                 1.2847,                0.69389,                0.94711,               0.008614,               0.008614,               0.008614
                      9,                 1.3516,                0.76003,                0.95747,                0.83867,                0.65622,                0.74511,                0.44111,                 1.2896,                0.68021,                0.94785,               0.008416,               0.008416,               0.008416
                     10,                 1.3432,                0.75421,                0.95723,                   0.84,                0.66255,                0.75065,                0.44559,                  1.277,                0.67445,                0.94428,               0.008218,               0.008218,               0.008218
                     11,                 1.3311,                0.74465,                0.95303,                 0.8356,                0.66709,                0.75341,                0.44802,                  1.278,                0.67298,                0.94332,                0.00802,                0.00802,                0.00802
                     12,                 1.3254,                0.73867,                0.95295,                0.83619,                0.66654,                0.75348,                0.44713,                 1.2826,                0.66622,                0.94234,               0.007822,               0.007822,               0.007822
                     13,                 1.3148,                0.73375,                0.95001,                0.83817,                0.67338,                0.75926,                0.45549,                  1.262,                0.66162,                0.93776,               0.007624,               0.007624,               0.007624
                     14,                  1.314,                0.73001,                0.94829,                0.84252,                0.67003,                0.75819,                0.45268,                 1.2638,                0.65946,                  0.936,               0.007426,               0.007426,               0.007426
                     15,                 1.3069,                 0.7243,                0.94423,                0.84476,                0.67332,                0.76114,                0.45585,                 1.2593,                0.65047,                0.93589,               0.007228,               0.007228,               0.007228
                     16,                 1.3073,                0.72184,                0.94429,                0.84291,                0.67521,                0.76152,                0.45619,                 1.2536,                0.64754,                0.93428,                0.00703,                0.00703,                0.00703
                     17,                 1.2962,                0.71607,                0.94271,                0.84102,                0.67973,                0.76374,                0.45948,                 1.2471,                0.64261,                0.93264,               0.006832,               0.006832,               0.006832
                     18,                 1.2912,                0.71163,                0.94132,                0.84072,                0.68141,                0.76621,                0.45736,                 1.2579,                0.64517,                 0.9322,               0.006634,               0.006634,               0.006634
                     19,                 1.2851,                0.70771,                0.94061,                0.84126,                0.68289,                0.76849,                0.46194,                 1.2498,                0.63782,                0.93062,               0.006436,               0.006436,               0.006436
                     20,                 1.2839,                0.70227,                0.93854,                0.84736,                0.68051,                0.76732,                0.46073,                 1.2527,                 0.6363,                0.93184,               0.006238,               0.006238,               0.006238
                     21,                 1.2877,                0.70851,                0.93842,                0.84933,                0.68734,                0.77387,                0.46966,                 1.2269,                0.62983,                 0.9266,                0.00604,                0.00604,                0.00604
                     22,                 1.2786,                0.70056,                0.93779,                 0.8492,                0.68688,                0.77484,                0.46741,                  1.238,                0.62923,                 0.9285,               0.005842,               0.005842,               0.005842
